Feature,Linear_Coef_Teams,Linear_P_Teams,Perm_P_Teams,Bootstrap_CI_Lower_Teams,Bootstrap_CI_Upper_Teams,Linear_Coef_Funded,Linear_P_Funded,Perm_P_Funded,Bootstrap_CI_Lower_Funded,Bootstrap_CI_Upper_Funded,Ridge_Coef_Teams,Ridge_Coef_Funded,RF_Importance_Teams,RF_Importance_Funded
num_members,-0.1571539020195066,0.172363251803321,0.176,-0.3922380884736133,0.40173695581567387,-0.031252181075356725,0.6528642224096938,0.665,-0.14078729510572982,0.2622625581410752,0.003188669998313825,0.009013339446143886,0.032807566640164064,0.033818507692674644
meeting_length,0.5612134623982618,0.010496839683503723,0.027,0.04514608773282657,1.0862378414721354,0.33687039761286147,0.011138875693385654,0.019,-0.007545072263915443,0.6731479404523686,0.005619865830593957,0.01965529855516939,0.13293026057602667,0.10339407280040833
num_interruption,0.07066370751168745,0.4494813034108368,0.466,-0.17423573868121595,0.22432032421724646,-0.014062127444144323,0.8034447963930488,0.828,-0.13402323934423138,0.09036883308808796,0.0012093199924401163,0.002117975690168255,0.0037962488891287558,0.008423326527770052
percent_time_screenshare,-0.07790150422577083,0.4697398476182546,0.519,-0.2948547616344644,0.09847423093478296,-0.01635788899482747,0.8018060595712238,0.823,-0.17263522388643343,0.11494068600896919,3.0104569182832822e-05,0.0027599984505251485,0.0388410799136749,0.02841654407138058
num_idea_management,0.1487645960310134,0.3502326575298934,0.403,-0.17072338968209316,0.45067667062087274,0.17889928443040995,0.06475627729481497,0.101,-0.040078801600617234,0.36423897117739085,0.0034438286313569185,0.011775169951123444,0.06231735549238543,0.10108470369572178
num_information_seeking,0.03100644742671113,0.8355033736313722,0.857,-0.28741602046623604,0.35462125295449687,0.02162819662384588,0.8108767289963237,0.84,-0.21827441804591047,0.19009020782162367,0.0025417436017249944,0.0073042252498689885,0.028202212323615514,0.02917754809074975
num_knowledge_sharing,-0.3989916177750293,0.05646962076397297,0.076,-0.9075921435408402,0.03231253712940191,-0.384873391976433,0.0026279559995895964,0.008,-0.6954633110295141,-0.13400901060117182,0.0030505898468287896,0.0006888871037793677,0.025020245002798966,0.02265867573785054
num_evaluation_practices,-0.15366353119809162,0.28908979713965954,0.315,-0.41374230178375143,0.18741294135273467,-0.18195767051097683,0.03925006186221338,0.068,-0.3480407572755795,-0.0019710939968570693,0.0024778788430783543,-0.001367796132524082,0.023274174952161632,0.039617299975377135
num_relational_climate,0.26751128408219227,0.1893171110774777,0.244,-0.18416054346869695,0.7966271276910478,0.20839566701443768,0.09184255218714271,0.117,-0.053228532212059455,0.5114442289089806,0.003302149943400292,0.00900506202637971,0.03619882001744905,0.047037788294631365
num_participation_dynamics,-0.07813684982218727,0.6109281281325956,0.641,-0.5588376785587175,0.2687838579931464,0.08257741198364944,0.37486564034884584,0.428,-0.2259275316028982,0.30575131774037967,0.0029259500738151078,0.01838030524120815,0.08112365456170373,0.07958582517300741
num_coordination_decision,0.3017741892556842,0.08829637883626658,0.118,-0.0925325391838778,0.6060536763105439,0.17142370698965032,0.109444565905676,0.162,-0.02346636519571677,0.3686306050026501,0.0043519240734162246,0.016907207601927828,0.09595168259842048,0.0352267725711487
num_integration_practices,-0.14501803942094146,0.22918137394434238,0.279,-0.4458650785358704,0.14415971795478505,-0.12667475424522023,0.08359169701779075,0.113,-0.29662323575634614,0.06879536035406694,0.002171830551719081,0.0046253628304712335,0.017028847670599066,0.02771850424336376
mean_score_idea_management,-0.40204435752108325,0.05490078306029457,0.068,-0.9182623647512708,0.036167121698862874,-0.21176102612433134,0.0942606759182744,0.139,-0.4879414225780156,0.07256253628273855,0.0025629809633436994,0.0027039524161650975,0.029746882023251667,0.02626796684684721
mean_score_information_seeking,0.08001765387786908,0.6431041090534075,0.669,-0.2831672615728578,0.6346945508497924,-0.0592889550396456,0.5706380150950681,0.605,-0.33527233736243317,0.2713230492761101,0.002402933926199373,0.0012296319711955382,0.028508466945869892,0.0389032067856556
mean_score_knowledge_sharing,-0.15739681023190344,0.21737373560134973,0.276,-0.5038914236411636,0.11410269865602196,-0.18824967104306548,0.015636156305420798,0.02,-0.4907295786573437,-0.05365002466288954,0.0009967861908387415,-0.006256724628772417,0.025506538470864298,0.047336537133242595
mean_score_evaluation_practices,0.031658674079029114,0.8224810955889528,0.839,-0.2698438824046868,0.4119648464035021,-0.18510581423954567,0.031686137892231896,0.06,-0.35054914935830744,0.043217550753019446,0.002923636309786793,-0.005151790633294434,0.042085272575298364,0.03750645464157561
mean_score_relational_climate,-0.07737628097984309,0.6154232443543446,0.659,-0.38758235112686507,0.2434226972688919,-0.03645828032993528,0.6956996110689306,0.708,-0.2101593785669786,0.1520350416179654,0.001799494758505017,0.009913287852276912,0.02920438960598682,0.0600406187935747
mean_score_participation_dynamics,0.18546026758228273,0.15336121054337748,0.19,-0.05841097097936082,0.41287393569045155,0.18340096464911587,0.02046211366663993,0.045,0.026347293454971922,0.3449314554201608,0.0023712605251326865,0.013177760023625414,0.0400304827663395,0.05506594415432522
mean_score_coordination_decision,0.2572902522650425,0.04658078926463807,0.067,-0.013057772819461168,0.5196719960152724,0.005829441265558059,0.9401651668504798,0.943,-0.20351554439222078,0.12366768021771224,0.0034890870646045965,0.006768892845128708,0.06554965212907535,0.030983797432921595
mean_score_integration_practices,-0.07195196894715669,0.5483787422426469,0.563,-0.34400095812134246,0.1693151316338209,0.036199588144040735,0.6177866470011842,0.667,-0.11256964649613577,0.2074721534892119,0.002092664968623514,0.011215680534579773,0.018508707884570343,0.04157783960627211
negative_utterance_ratio,0.1271420693733694,0.17910216908719273,0.207,-0.11346044747747416,0.2879799670118492,0.03123658621685335,0.5844351820491762,0.643,-0.09017035754505606,0.14132101298202387,0.0005247581454644276,-0.0047111161816942625,0.013493154842668166,0.016813591035270012
positive_intensity,0.3352873019812811,0.20865624182358394,0.249,-0.24595574643847473,0.8299668052325616,0.438488123204522,0.0072051898326323475,0.016,0.0651632290233264,0.8292312840519893,0.0021782896959494495,0.006425892434767677,0.049504101905382986,0.021230621030191767
num_facilitator,0.294937305103542,0.032367276873173034,0.042,-0.018582804795116342,0.6291363381080289,0.1048940746010855,0.20602923664442024,0.256,-0.09948339031264974,0.2785037202417721,0.0037635210280411438,0.015924883106146124,0.0064730323537851835,0.009839810679027306
facilitator_dominance_ratio,-0.3978623305509561,0.008838467134588605,0.013,-0.6960034350815222,0.06882472736008487,-0.10565045077331095,0.24567757584485078,0.303,-0.294276394299667,0.16489239596277563,-0.0015399682067235487,0.00517033220123182,0.03556661010763148,0.022502731909158476
facilitator_average_score,-0.08951546083298587,0.4995334829155821,0.542,-0.44281615045648237,0.1353934233595027,0.05622197024167936,0.483547578045613,0.535,-0.13625374454622557,0.21376310837401077,-0.00034722184255995945,0.003299471426612503,0.038330559751147714,0.03577131107785373
